Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
544,neomux,363,11,363,1,2019-06-10T01:00:12Z,2023-04-17T10:32:14Z,16606,Control Neovim from shells running inside Neovim.,Vim Script,https://github.com/nikvdp/neomux
545,vim-arduino,362,24,362,11,2015-06-30T05:01:44Z,2024-02-10T02:33:29Z,108,Vim plugin for compiling and uploading arduino sketches,Vim Script,https://github.com/stevearc/vim-arduino
546,dotfiles,362,63,362,0,2016-08-03T07:31:16Z,2024-07-29T13:55:46Z,172,Configuration files,Vim Script,https://github.com/koekeishiya/dotfiles
547,dotfiles,360,76,360,4,2012-03-07T15:05:10Z,2024-12-08T23:21:37Z,258,".vimrc, .bashrc etc",Vim Script,https://github.com/tomnomnom/dotfiles
548,neco-ghc,359,31,359,0,2010-09-24T00:17:38Z,2021-02-22T11:08:23Z,143,"A completion plugin for Haskell, using ghc-mod",Vim script,https://github.com/eagletmt/neco-ghc
549,vim-tags,359,24,359,13,2012-10-22T18:11:52Z,2020-11-30T10:53:08Z,315,Ctags generator for Vim,VimL,https://github.com/szw/vim-tags
550,vim-clang,359,47,359,34,2013-02-01T09:48:37Z,2023-12-20T08:24:28Z,544,Clang completion plugin for vim,Vim Script,https://github.com/justmao945/vim-clang
551,vim-diff-enhanced,359,17,359,0,2015-02-25T19:04:13Z,2024-09-20T21:06:06Z,309,Better Diff options for Vim,Vim Script,https://github.com/chrisbra/vim-diff-enhanced
552,vim-jdaddy,358,8,358,8,2014-02-13T18:52:23Z,2022-03-26T15:36:00Z,6,jdaddy.vim: JSON manipulation and pretty printing,Vim script,https://github.com/tpope/vim-jdaddy
553,miasma.nvim,356,20,356,6,2023-06-17T16:17:27Z,2024-12-27T22:39:46Z,781,a fog descends upon your editor ☁  dark color scheme inspired by the woods for vim and neovim,Vim Script,https://github.com/xero/miasma.nvim
554,quickfix-reflector.vim,356,18,356,3,2014-03-16T12:35:10Z,2022-02-02T17:59:44Z,31,Change code right in the quickfix window,Vim script,https://github.com/stefandtw/quickfix-reflector.vim
555,vim-up,356,22,356,1,2016-11-30T19:54:47Z,2023-08-21T21:07:42Z,1342,"A bunch of vim shortcuts, colors, and bundles to make your life easier",Vim Script,https://github.com/cassidoo/vim-up
556,purify,355,25,355,3,2018-07-11T15:55:59Z,2022-07-26T19:49:33Z,7276,":rainbow: Clean & vibrant color schemes for Vim, Terminals...",Vim script,https://github.com/kyoz/purify
557,vim-ragtag,353,54,353,5,2010-01-18T01:04:48Z,2022-10-12T14:20:52Z,87,ragtag.vim: ghetto HTML/XML mappings (formerly allml.vim),Vim script,https://github.com/tpope/vim-ragtag
558,vim-system-copy,352,32,352,13,2014-06-06T16:51:43Z,2024-03-16T14:08:38Z,26,Vim plugin for copying to the system clipboard with text-objects and motions,Vim Script,https://github.com/christoomey/vim-system-copy
559,vim-esearch,352,12,352,12,2015-07-20T19:57:05Z,2023-10-16T20:29:49Z,3923,Perform search in files easily,Vim Script,https://github.com/eugen0329/vim-esearch
560,vim-coloresque,351,62,351,15,2013-08-11T07:46:23Z,2020-05-03T19:14:41Z,68,css/less/sass/html color preview for vim,Vim script,https://github.com/gko/vim-coloresque
561,colorizer,351,27,351,10,2011-05-04T13:37:03Z,2022-01-03T10:18:47Z,615,A Vim plugin to colorize all text in the form #rrggbb or #rgb.,Vim script,https://github.com/lilydjwg/colorizer
562,vim-tmux-focus-events,350,23,350,15,2015-03-21T20:46:35Z,2024-03-23T08:51:52Z,50,Make terminal vim and tmux work better together.,Vim script,https://github.com/tmux-plugins/vim-tmux-focus-events
563,dotfiles,350,11,350,0,2017-03-26T10:47:29Z,2020-08-24T10:37:26Z,59,files that define my GNU/Linux box.,Vim script,https://github.com/oppiliappan/dotfiles
564,vim-closer,347,34,347,17,2015-05-31T07:48:55Z,2024-07-14T17:53:50Z,64,Closes brackets,Vim Script,https://github.com/rstacruz/vim-closer
565,Vim-Jinja2-Syntax,347,66,347,8,2011-12-17T22:24:55Z,2021-06-22T14:26:45Z,42,An up-to-date jinja2 syntax file.,Vim script,https://github.com/Glench/Vim-Jinja2-Syntax
566,pangu.vim,345,29,345,2,2015-03-26T02:25:50Z,2023-02-19T00:36:31Z,78,『盘古之白』中文排版自动规范化的 Vim 插件,Vim Script,https://github.com/hotoo/pangu.vim
567,vim-sonictemplate,342,42,342,3,2011-10-25T01:23:34Z,2025-02-16T14:16:10Z,736,Easy and high speed coding method,Vim Script,https://github.com/mattn/vim-sonictemplate
568,vim-dirdiff,342,60,342,18,2015-02-04T02:39:12Z,2023-05-24T02:12:12Z,104,Vim plugin to diff two directories,Vim script,https://github.com/will133/vim-dirdiff
569,vim2hs,341,47,341,64,2012-02-29T06:32:36Z,2018-04-29T15:08:14Z,1046,vim2hs :: Vim -> Haskell,VimL,https://github.com/dag/vim2hs
570,vifm.vim,340,19,340,15,2014-06-09T14:25:58Z,2025-03-23T16:43:36Z,8094,Vim plugin that allows use of vifm as a file picker,Vim Script,https://github.com/vifm/vifm.vim
571,vimroom,340,40,340,24,2010-10-31T10:19:13Z,2017-01-05T12:53:30Z,148,Simulating a vaguely WriteRoom-like environment in Vim.,VimL,https://github.com/mikewest/vimroom
572,vim-diminactive,340,10,340,15,2014-02-09T08:46:20Z,2021-09-25T08:18:02Z,170,Vim plugin to dim inactive windows,Vim script,https://github.com/blueyed/vim-diminactive
573,vim-snazzy,340,34,340,6,2018-04-16T22:07:01Z,2022-07-30T06:24:09Z,7259,Elegant vim theme with bright colors.,Vim script,https://github.com/connorholyday/vim-snazzy
574,vim-lsp-cxx-highlight,339,25,339,19,2019-02-24T23:50:55Z,2024-09-24T03:59:33Z,5633,"Vim plugin for C/C++/ObjC semantic highlighting using cquery, ccls, or clangd",Vim Script,https://github.com/jackguo380/vim-lsp-cxx-highlight
575,vimdoc-ja,338,33,338,13,2011-09-15T01:42:07Z,2025-03-22T15:07:27Z,123249,A project which translate Vim documents into Japanese.,Vim Script,https://github.com/vim-jp/vimdoc-ja
576,vim-terraform-completion,338,24,338,18,2017-04-28T02:06:26Z,2022-03-04T13:52:42Z,7102,"A (Neo)Vim Autocompletion and linter for Terraform, a HashiCorp tool",Vim script,https://github.com/juliosueiras/vim-terraform-completion
577,vim-slim,338,67,338,13,2011-03-12T11:02:24Z,2024-05-13T21:18:53Z,42,Syntax highlighting for VIM,Vim Script,https://github.com/slim-template/vim-slim
578,vim-afterglow,337,37,337,1,2017-02-27T06:20:46Z,2024-03-31T20:04:21Z,41,Vim adaptation of the Afterglow colorscheme,Vim Script,https://github.com/danilo-augusto/vim-afterglow
579,vim-pydocstring,337,52,337,1,2012-01-18T12:30:37Z,2023-07-15T10:11:43Z,9690,Generate Python docstring to your Python source code.,Vim Script,https://github.com/heavenshell/vim-pydocstring
580,lightline-bufferline,336,25,336,1,2016-10-05T19:33:22Z,2023-11-26T18:54:49Z,586,A lightweight plugin to display the list of buffers in the lightline vim plugin,Vim Script,https://github.com/mengelbrecht/lightline-bufferline
581,vim-jetpack,336,33,336,12,2022-02-13T05:22:11Z,2025-02-20T03:14:18Z,705,"The lightning-fast plugin manager, alternative to vim-plug",Vim Script,https://github.com/tani/vim-jetpack
582,wim,336,15,336,0,2022-06-21T16:49:02Z,2024-11-09T18:03:52Z,7075,This is a Vim configuration that gets you a similar experience as a full-featured IDE. This is accomplished using native vim features with the help of some plugins.,Vim Script,https://github.com/wolandark/wim
583,vimpyter,334,17,334,12,2018-02-20T18:28:58Z,2021-12-02T10:24:00Z,116,Edit your Jupyter notebooks in Vim/Neovim,Vim script,https://github.com/szymonmaszke/vimpyter
584,deol.nvim,334,15,334,0,2016-11-07T19:43:46Z,2025-03-12T04:07:43Z,191,Dark powered shell interface for Vim/Neovim,Vim Script,https://github.com/Shougo/deol.nvim
