Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
899,geoip,121,19,121,7,2016-09-03T08:16:54Z,2023-11-01T16:59:11Z,311,"Elixir library to find geo location information given an IP address, hostname or Plug.Conn",Elixir,https://github.com/navinpeiris/geoip
900,eth,121,48,121,18,2017-09-01T15:58:46Z,2023-10-17T13:49:46Z,408,Ethereum utilities for Elixir,Elixir,https://github.com/izelnakri/eth
901,mix_generator,121,14,121,4,2017-04-10T21:08:41Z,2022-09-03T20:18:51Z,97,Project generator for mix (an alternative to mix new),Elixir,https://github.com/pragdave/mix_generator
902,elixir-microservice-architecture,121,11,121,0,2017-06-28T22:02:18Z,2018-11-03T19:12:24Z,129,"A sketch of a microservice architecture in Elixir, using clustered VMs, docker-compose, Redis, HAProxy",Elixir,https://github.com/mattvonrocketstein/elixir-microservice-architecture
903,testcontainers-elixir,121,18,121,12,2023-10-10T15:46:18Z,2025-03-17T16:15:46Z,930,"Testcontainers is an Elixir library that supports ExUnit tests, providing lightweight, throwaway instances of common databases, Selenium web browsers, or anything else that can run in a Docker container.",Elixir,https://github.com/testcontainers/testcontainers-elixir
904,paasaa,120,12,120,5,2016-08-31T15:17:40Z,2025-03-10T03:46:41Z,959,🔤 Natural language detection for Elixir without AI,Elixir,https://github.com/minibikini/paasaa
905,scenic_new,120,31,120,6,2018-08-27T16:02:45Z,2024-11-30T18:06:57Z,394,mix scenic.new task for Scenic apps,Elixir,https://github.com/ScenicFramework/scenic_new
906,sqlitex,120,34,120,5,2015-01-25T23:19:33Z,2021-03-18T20:51:46Z,259,An Elixir wrapper around esqlite. Allows access to sqlite3 databases.,Elixir,https://github.com/elixir-sqlite/sqlitex
907,elixir-webdriver,120,32,120,9,2013-07-12T06:29:28Z,2020-03-03T16:25:39Z,14294,WebDriver client for Elixir.,Elixir,https://github.com/stuart/elixir-webdriver
908,doorman,120,12,120,2,2016-06-11T20:19:23Z,2022-04-11T20:34:06Z,62,"Tools to make Plug, and Phoenix authentication simple and flexible.",Elixir,https://github.com/BlakeWilliams/doorman
909,exsamples,120,8,120,2,2015-10-16T14:54:00Z,2022-10-21T00:36:20Z,32,"Initializes lists of maps, structs or keyword lists using tabular data in Elixir",Elixir,https://github.com/msaraiva/exsamples
910,heroicons_elixir,120,30,120,2,2021-03-03T22:42:56Z,2025-03-04T23:56:52Z,1882,Phoenix components for Heroicons! 🛡️,Elixir,https://github.com/mveytsman/heroicons_elixir
911,yummy-phoenix-graphql,120,21,120,0,2017-08-29T09:45:03Z,2018-10-14T19:03:01Z,976,"Cooking recipe sharing app built with Phoenix, React, GraphQL and Kubernetes",Elixir,https://github.com/MatthieuSegret/yummy-phoenix-graphql
912,workbench,120,21,120,27,2019-12-28T00:24:29Z,2023-03-06T20:10:21Z,12841,From Idea to Execution - Manage your trading operation across a distributed cluster,Elixir,https://github.com/fremantle-industries/workbench
913,exdgraph,120,10,120,6,2018-02-22T19:16:46Z,2020-10-22T22:26:04Z,4156,gRPC based Elixir Dgraph client. Under development.,Elixir,https://github.com/ospaarmann/exdgraph
914,ash_authentication,119,74,119,29,2022-09-27T21:14:49Z,2025-03-27T23:12:25Z,2237,The Ash Authentication framework,Elixir,https://github.com/team-alembic/ash_authentication
915,sqlite_ecto2,119,32,119,7,2016-12-24T01:22:17Z,2021-03-18T20:54:58Z,698,Sqlite3 adapter for Ecto 2.2.x,Elixir,https://github.com/elixir-sqlite/sqlite_ecto2
916,ElixrGettingStartedChinese,119,18,119,0,2016-08-05T01:48:38Z,2017-10-26T11:30:28Z,61,Elixir官网的入门教程中文翻译 Elixir Getting Started Chinese Version,Elixir,https://github.com/Ljzn/ElixrGettingStartedChinese
917,exrun,119,6,119,2,2014-06-30T06:24:36Z,2022-07-07T17:08:35Z,50,Runtime and debugging tools for elixir,Elixir,https://github.com/liveforeverx/exrun
918,waffle_ecto,119,37,119,15,2019-08-25T11:57:22Z,2025-03-21T10:22:49Z,141,Waffle.Ecto provides an integration with Waffle and Ecto,Elixir,https://github.com/elixir-waffle/waffle_ecto
919,mango,119,24,119,0,2017-06-24T05:08:02Z,2021-06-17T03:30:32Z,848,Ecommerce site that you will build while learning Mastering Phoenix Framework,Elixir,https://github.com/shankardevy/mango
920,live_data,118,2,118,15,2021-05-08T23:29:32Z,2024-04-27T11:09:29Z,310,,Elixir,https://github.com/hansihe/live_data
921,MongooseICE,118,15,118,7,2017-01-19T11:36:50Z,2019-09-02T08:45:47Z,263,STUN/TURN server written in Elixir,Elixir,https://github.com/esl/MongooseICE
922,ecto_soft_delete,118,29,118,17,2016-09-30T17:28:44Z,2025-03-07T21:09:05Z,148,Soft Deletion for Ecto,Elixir,https://github.com/revelrylabs/ecto_soft_delete
923,imagineer,118,16,118,7,2014-10-13T16:33:21Z,2018-11-09T19:09:34Z,987,Image processing in Elixir,Elixir,https://github.com/tyre/imagineer
924,sql_dust,118,14,118,9,2016-01-28T08:19:47Z,2021-09-21T23:17:19Z,189,Easy. Simple. Powerful. Generate (complex) SQL queries using magical Elixir SQL dust.,Elixir,https://github.com/bettyblocks/sql_dust
925,maestro,117,4,117,6,2017-10-12T15:12:38Z,2021-07-22T21:18:39Z,173,an event store + cqrs,Elixir,https://github.com/elixir-toniq/maestro
926,pardall_markdown,117,8,117,18,2021-08-30T09:38:39Z,2024-05-03T18:22:56Z,1759,"Reactive publishing framework, filesystem-based with support for Markdown, nested hierarchies, and instant content rebuilding. Written in Elixir.",Elixir,https://github.com/alfredbaudisch/pardall_markdown
927,tds,117,78,117,13,2015-02-02T18:13:05Z,2025-03-10T14:50:33Z,1268,TDS Driver for Elixir,Elixir,https://github.com/elixir-ecto/tds
