Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
116,bidi,998,90,998,60,2013-12-20T20:10:30Z,2023-03-15T10:46:57Z,730,Bidirectional URI routing,Clojure,https://github.com/juxt/bidi
117,cljfx,986,48,986,37,2018-12-22T22:02:32Z,2025-01-28T12:01:45Z,1395,"Declarative, functional and extensible wrapper of JavaFX inspired by better parts of react and re-frame",Clojure,https://github.com/cljfx/cljfx
118,citysdk,973,183,973,6,2015-02-02T14:17:57Z,2024-10-30T15:54:57Z,2477069,"Convenient JavaScript utilities for working with Census APIs: Statistics, Cartographic GeoJSON, lat/lng -> FIPS, and other niceties (written in ClojureScript)",Clojure,https://github.com/uscensusbureau/citysdk
119,liquid,966,42,966,9,2016-11-04T21:36:29Z,2022-03-11T19:04:25Z,1389,"Clojure Text Editor, for editing clojure code and markdown. Written entirely in Clojure with inspiration from Emacs and Vim.",Clojure,https://github.com/mogenslund/liquid
120,geom,965,77,965,30,2014-02-19T16:25:37Z,2025-03-22T14:59:18Z,8971,2D/3D geometry toolkit for Clojure/Clojurescript,Clojure,https://github.com/thi-ng/geom
121,anvil-runtime,956,119,956,32,2020-04-14T22:50:12Z,2024-11-27T18:38:17Z,11590,The runtime engine for hosting Anvil web apps,Clojure,https://github.com/anvil-works/anvil-runtime
122,cats,947,67,947,31,2014-06-13T19:15:40Z,2025-03-20T19:06:08Z,1638,Category Theory and Algebraic abstractions for Clojure and ClojureScript.,Clojure,https://github.com/funcool/cats
123,meander,945,56,945,20,2017-10-27T05:20:21Z,2023-09-08T14:28:43Z,3198,Tools for transparent data transformation,Clojure,https://github.com/noprompt/meander
124,play-clj,944,72,944,9,2013-12-29T01:21:20Z,2019-03-11T00:46:23Z,57851,A Clojure game library,Clojure,https://github.com/oakes/play-clj
125,portal,941,82,941,15,2020-06-03T01:43:48Z,2025-01-12T02:21:40Z,6582,A clojure tool to navigate through your data.,Clojure,https://github.com/djblue/portal
126,logic-tutorial,938,80,938,14,2011-04-29T04:45:51Z,2018-10-30T11:45:38Z,339,A Very Gentle Introduction to Relational Programming,Clojure,https://github.com/swannodette/logic-tutorial
127,expound,930,22,930,10,2017-06-25T23:29:09Z,2024-10-10T23:00:50Z,1749,Human-optimized error messages for clojure.spec,Clojure,https://github.com/bhb/expound
128,etaoin,930,96,930,16,2017-01-13T15:24:16Z,2025-03-26T21:32:23Z,5531,Pure Clojure Webdriver protocol implementation,Clojure,https://github.com/clj-commons/etaoin
129,pronoun.is,929,102,929,46,2015-03-03T09:36:58Z,2023-01-08T02:23:06Z,152,Show people how to use pronouns!,Clojure,https://github.com/witch-house/pronoun.is
130,environ,927,71,927,20,2012-04-04T15:43:51Z,2024-04-15T15:28:54Z,67,Library for managing environment variables in Clojure,Clojure,https://github.com/weavejester/environ
131,braid,925,53,925,39,2016-01-08T20:29:36Z,2021-06-08T15:15:09Z,6255, Braid is a team-chat app with a novel UI that leads to better conversations.,Clojure,https://github.com/braidchat/braid
132,clojurec,922,56,922,5,2012-06-06T13:24:19Z,2018-04-25T22:28:20Z,1198,A Clojure implementation on top of C,Clojure,https://github.com/schani/clojurec
133,biff,920,47,920,13,2020-03-27T20:25:51Z,2025-02-23T07:21:51Z,1784,A Clojure web framework for solo developers.,Clojure,https://github.com/jacobobryant/biff
134,titanoboa,918,47,918,13,2018-05-09T12:42:18Z,2022-09-16T12:57:43Z,9346,"Titanoboa makes complex workflows easy. It is a low-code workflow orchestration platform for JVM - distributed, highly scalable and fault tolerant.",Clojure,https://github.com/commsor/titanoboa
135,netrunner,918,396,918,202,2014-04-23T17:57:52Z,2025-03-25T01:43:56Z,97580,,Clojure,https://github.com/mtgred/netrunner
136,programming-language-research,916,57,916,0,2019-04-16T00:37:13Z,2024-10-22T11:41:16Z,37584,"✨ Programming Language Research, Applied PLT & Compilers",Clojure,https://github.com/imteekay/programming-language-research
137,markright,912,56,912,24,2015-10-12T10:08:36Z,2021-11-30T00:57:18Z,2002,➡ Electron powered markdown editor with live preview,Clojure,https://github.com/dvcrn/markright
138,pulsar,911,54,911,11,2013-04-10T09:03:02Z,2020-02-05T08:27:44Z,4023,"Fibers, Channels and Actors for Clojure",Clojure,https://github.com/puniverse/pulsar
139,loom,888,109,888,43,2013-03-20T02:05:51Z,2023-12-30T02:40:37Z,572,Graph library for Clojure. Mailing list https://groups.google.com/forum/#!forum/loom-clj,Clojure,https://github.com/aysylu/loom
