Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
65,stat-cookbook,2304,344,2304,0,23/04/2012,20/02/2023,1.26 MB,:orange_book: The probability and statistics cookbook,TeX,https://github.com/mavam/stat-cookbook,1.26 MB
66,BDA_course_Aalto,2274,567,2274,1,07/09/2018,14/05/2026,524.63 MB,Bayesian Data Analysis course at Aalto,TeX,https://github.com/avehtari/BDA_course_Aalto,524.63 MB
67,applied-methods-phd,2230,675,2230,4,13/01/2021,30/04/2026,303.41 MB,Repo for Yale Applied Empirical Methods PHD Course,TeX,https://github.com/paulgp/applied-methods-phd,303.41 MB
68,ixy-languages,2178,54,2178,1,14/10/2018,11/06/2024,7.77 MB,"A high-speed network driver written in C, Rust, C++, Go, C#, Java, OCaml, Haskell, Swift, Javascript, and Python",TeX,https://github.com/ixy-languages/ixy-languages,7.77 MB
69,the-turing-way,2166,766,2166,605,01/11/2018,30/07/2026,706.02 MB,"Book repository for The Turing Way: a how to guide for reproducible, ethical and collaborative data science",TeX,https://github.com/the-turing-way/the-turing-way,706.02 MB
70,book,2156,378,2156,82,06/11/2012,18/06/2026,152.26 MB,A textbook on informal homotopy type theory,TeX,https://github.com/HoTT/book,152.26 MB
71,ustcthesis,2121,448,2121,1,07/07/2015,25/07/2026,4.83 MB,LaTeX template for USTC thesis,TeX,https://github.com/ustctug/ustcthesis,4.83 MB
72,CleverAlgorithms,2117,341,2117,32,02/01/2010,20/12/2024,27.21 MB,Clever Algorithms: Nature-Inspired Programming Recipes,TeX,https://github.com/Jason2Brownlee/CleverAlgorithms,27.21 MB
73,latex3,2115,212,2115,148,13/03/2011,30/07/2026,64.03 MB,The expl3 (LaTeX3) Development Repository,TeX,https://github.com/latex3/latex3,64.03 MB
74,awesome-latex-drawing,2035,190,2035,1,11/01/2019,26/05/2025,18.74 MB,"Drawing Bayesian networks, graphical models, tensors, technical frameworks, and illustrations in LaTeX.",TeX,https://github.com/xinychen/awesome-latex-drawing,18.74 MB
75,napkin,1943,182,1943,23,20/02/2019,22/07/2026,9.79 MB,An Infinitely Large Napkin,TeX,https://github.com/vEnhance/napkin,9.79 MB
76,moderncv,1935,606,1935,74,29/07/2015,13/06/2024,63.83 MB,A modern curriculum vitae class for LaTeX,TeX,https://github.com/xdanaux/moderncv,63.83 MB
77,dlbook_notation,1900,385,1900,4,01/03/2018,08/05/2023,441.00 KB,LaTeX files for the Deep Learning book notation,TeX,https://github.com/goodfeli/dlbook_notation,441.00 KB
78,debian-media-box,1899,79,1899,8,30/06/2019,10/08/2025,12.74 MB,“Debian 小药盒”，一个用来包装 Debian 安装介质的盒子设计和介绍用的说明书。,TeX,https://github.com/moesoha/debian-media-box,12.74 MB
79,slambook-en,1893,314,1893,30,23/04/2017,07/07/2025,711.90 MB,The English version of 14 lectures on visual SLAM.,TeX,https://github.com/gaoxiang12/slambook-en,711.90 MB
80,tufte-latex,1880,321,1880,109,12/03/2015,14/07/2024,4.21 MB,"A Tufte-inspired LaTeX class for producing handouts, papers, and books",TeX,https://github.com/Tufte-LaTeX/tufte-latex,4.21 MB
81,minted,1864,130,1864,46,08/04/2013,04/03/2026,9.86 MB,minted is a LaTeX package that provides syntax highlighting using the Pygments library. Highlighted source code can be customized using fancyvrb.,TeX,https://github.com/gpoore/minted,9.86 MB
82,arviz,1838,500,1838,106,29/07/2015,20/07/2026,129.11 MB,Exploratory analysis of Bayesian models with Python,TeX,https://github.com/arviz-devs/arviz,129.11 MB
83,pandoc_resume,1769,762,1769,38,09/07/2014,28/02/2024,147.00 KB,The Markdown Resume,TeX,https://github.com/mszep/pandoc_resume,147.00 KB
84,Cpp17,1752,273,1752,1,07/10/2019,23/03/2026,36.03 MB,本书为《C++17 the complete guide》的个人中文翻译，仅供学习和交流使用，侵删,TeX,https://github.com/MeouSker77/Cpp17,36.03 MB
85,machine-learning-visualized,1750,158,1750,1,15/03/2025,08/07/2026,18.70 MB,ML algorithms implemented and derived from first-principles in Jupyter Notebooks and NumPy,TeX,https://github.com/gavinkhung/machine-learning-visualized,18.70 MB
86,WebLaTex,1734,458,1734,16,23/10/2022,23/05/2024,24.24 MB,A complete alternative for Overleaf with VSCode + Web + Git Integration + Copilot + Grammar & Spell Checker + Live Collaboration Support. Based on GitHub Codespace and Dev container.,TeX,https://github.com/sanjib-sen/WebLaTex,24.24 MB
87,acm-cheat-sheet,1717,532,1717,15,13/04/2013,11/09/2022,69.88 MB,Acm Cheat Sheet,TeX,https://github.com/soulmachine/acm-cheat-sheet,69.88 MB
88,yellowpaper,1714,533,1714,130,02/04/2014,26/02/2025,3.55 MB,"The ""Yellow Paper"": Ethereum's formal specification",TeX,https://github.com/ethereum/yellowpaper,3.55 MB
89,LaTeX-Template-Cn,1703,829,1703,1,24/07/2014,11/03/2018,5.93 MB,\LaTeX 中文模版收集。,TeX,https://github.com/DeathKing/LaTeX-Template-Cn,5.93 MB
90,ThinkBayes,1700,1903,1700,12,08/07/2013,12/03/2021,45.16 MB,Code repository for Think Bayes.,TeX,https://github.com/AllenDowney/ThinkBayes,45.16 MB
91,LaTeX-examples,1688,413,1688,5,09/08/2012,19/10/2024,298.21 MB,Examples for the usage of LaTeX,TeX,https://github.com/MartinThoma/LaTeX-examples,298.21 MB
92,Awesome-Interaction-Aware-Trajectory-Prediction,1688,309,1688,1,15/07/2019,28/09/2024,458.00 KB,A selection of state-of-the-art research materials on trajectory prediction,TeX,https://github.com/jiachenli94/Awesome-Interaction-Aware-Trajectory-Prediction,458.00 KB
93,beamer,1684,162,1684,120,27/11/2016,29/06/2026,46.70 MB,A LaTeX class for producing presentations and slides,TeX,https://github.com/josephwright/beamer,46.70 MB
