Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
67,design-blocks,13859,1227,13859,33,03/08/2017,22/06/2022,370.16 MB,A set of 170+ Bootstrap based design blocks ready to be used to create clean modern websites.,HTML,https://github.com/froala/design-blocks,370.16 MB
68,responsive-html-email-template,13692,4358,13692,8,20/12/2013,20/08/2024,100.00 KB,A free simple responsive HTML email template,HTML,https://github.com/leemunroe/responsive-html-email-template,100.00 KB
69,Spoon-Knife,13614,156245,13614,20312,27/01/2011,21/08/2024,2.00 KB,This repo is for demonstration purposes only.,HTML,https://github.com/octocat/Spoon-Knife,2.00 KB
70,minimal-mistakes,13399,27357,13399,35,24/05/2013,07/02/2026,46.91 MB,":triangular_ruler: Jekyll theme for building a personal site, blog, project documentation, or portfolio.",HTML,https://github.com/mmistakes/minimal-mistakes,46.91 MB
71,hugo-PaperMod,13116,3337,13116,1,21/07/2020,25/01/2026,9.54 MB," A fast, clean, responsive Hugo theme.",HTML,https://github.com/adityatelange/hugo-PaperMod,9.54 MB
72,extensions,13044,1058,13044,0,08/01/2024,19/02/2026,2.53 GB,Extension repository for Mihon and variants,HTML,https://github.com/keiyoushi/extensions,2.53 GB
73,keeweb,12883,1142,12883,428,17/10/2015,19/05/2025,318.60 MB,Free cross-platform password manager compatible with KeePass,HTML,https://github.com/keeweb/keeweb,318.60 MB
74,awesome-modern-cpp,12882,1226,12882,16,30/03/2016,20/08/2024,214.00 KB,A collection of resources on modern C++,HTML,https://github.com/rigtorp/awesome-modern-cpp,214.00 KB
75,deep-learning-drizzle,12793,2973,12793,5,26/11/2018,19/10/2024,267.00 KB,"Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!",HTML,https://github.com/kmario23/deep-learning-drizzle,267.00 KB
76,language-server-protocol,12587,928,12587,290,04/09/2015,20/02/2026,7.66 MB,Defines a common protocol for language servers.,HTML,https://github.com/microsoft/language-server-protocol,7.66 MB
77,llm_interview_note,12431,1249,12431,22,08/11/2023,30/04/2025,136.17 MB,主要记录大语言大模型（LLMs） 算法（应用）工程师相关的知识及面试题,HTML,https://github.com/wdndev/llm_interview_note,136.17 MB
78,Awesome-Diffusion-Models,12274,1011,12274,25,18/09/2021,01/08/2024,1.88 MB, A collection of resources and papers on Diffusion Models,HTML,https://github.com/diff-usion/Awesome-Diffusion-Models,1.88 MB
79,coreui-free-bootstrap-admin-template,12215,3156,12215,4,04/08/2016,21/01/2026,33.00 MB,Free Bootstrap Admin & Dashboard Template ,HTML,https://github.com/coreui/coreui-free-bootstrap-admin-template,33.00 MB
80,YubiKey-Guide,12194,1245,12194,12,01/02/2016,10/01/2026,1.04 MB,Community guide to using YubiKey for GnuPG and SSH - protect secrets with hardware crypto.,HTML,https://github.com/drduh/YubiKey-Guide,1.04 MB
81,hyperui,11963,499,11963,0,12/11/2021,18/02/2026,41.35 MB,"Free Tailwind CSS v4 components for your next project, designed to enhance your web development with the latest features and styles 🚀",HTML,https://github.com/markmead/hyperui,41.35 MB
82,flag-icons,11944,1935,11944,33,25/09/2013,22/01/2026,16.65 MB,:flags: A curated collection of all country flags in SVG — plus the CSS for easier integration,HTML,https://github.com/lipis/flag-icons,16.65 MB
83,isotope,11100,1387,11100,75,01/01/2011,24/09/2021,1.66 MB,:revolving_hearts: Filter & sort magical layouts,HTML,https://github.com/metafizzy/isotope,1.66 MB
84,dashboards,11046,1401,11046,6,08/08/2014,02/11/2021,2.19 MB,Responsive dashboard templates 📊✨,HTML,https://github.com/keen/dashboards,2.19 MB
85,turndown,10812,963,10812,148,23/10/2011,24/10/2025,4.07 MB,🛏 An HTML to Markdown converter written in JavaScript,HTML,https://github.com/mixmark-io/turndown,4.07 MB
86,LearnCS8-Resume,10772,189,10772,1,20/09/2019,04/01/2021,4.22 MB,Resume template website for the LearnCS8 Lab 3,HTML,https://github.com/JordanSchuetz/LearnCS8-Resume,4.22 MB
