Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
124,free4chat,1078,140,1078,15,31/10/2021,05/02/2026,1.19 MB,"free4.chat is a real-time audio chat service.  It is designed by the local first and privacy first principle, and is very easy to use.",Elixir,https://github.com/i365dev/free4chat,1.19 MB
125,crawly,1074,121,1074,8,09/03/2019,16/07/2025,2.88 MB,"Crawly, a high-level web crawling & scraping framework for Elixir. ",Elixir,https://github.com/elixir-crawly/crawly,2.88 MB
126,elixir-google-api,1072,468,1072,115,25/08/2017,19/02/2026,68.68 MB,Elixir client libraries for accessing Google APIs.,Elixir,https://github.com/googleapis/elixir-google-api,68.68 MB
127,stripity-stripe,1062,372,1062,7,02/10/2015,17/10/2024,4.87 MB,An Elixir Library for Stripe,Elixir,https://github.com/beam-community/stripity-stripe,4.87 MB
128,hex,1055,200,1055,18,23/12/2013,25/02/2026,4.08 MB,Package manager for the Erlang ecosystem.,Elixir,https://github.com/hexpm/hex,4.08 MB
129,jido,1034,58,1034,2,16/12/2024,26/02/2026,2.77 MB,"🤖 Autonomous agent framework for Elixir. Built for distributed, autonomous behavior and dynamic workflows.",Elixir,https://github.com/agentjido/jido,2.77 MB
130,craftplan,1030,46,1030,2,24/12/2024,13/02/2026,6.14 MB,Self-hosted software for managing artisanal D2C micro-businesses,Elixir,https://github.com/puemos/craftplan,6.14 MB
131,zigler,1028,55,1028,81,01/10/2019,28/10/2025,2.18 MB,zig nifs in elixir,Elixir,https://github.com/E-xyza/zigler,2.18 MB
132,petal_components,1024,102,1024,31,13/10/2021,19/01/2026,1.91 MB,Phoenix + Live View HEEX Components ,Elixir,https://github.com/petalframework/petal_components,1.91 MB
133,elixir-in-action,1021,203,1021,12,23/11/2014,17/06/2024,308.00 KB,Code samples for Elixir in Action book,Elixir,https://github.com/sasa1977/elixir-in-action,308.00 KB
134,salad_ui,1013,67,1013,27,25/05/2024,06/08/2025,4.67 MB,Phoenix Liveview component library inspired by shadcn UI,Elixir,https://github.com/bluzky/salad_ui,4.67 MB
135,bypass,994,120,994,27,16/09/2015,10/07/2025,6.52 MB,Bypass provides a quick way to create a custom plug that can be put in place instead of an actual HTTP server to return prebaked responses to client requests.,Elixir,https://github.com/PSPDFKit-labs/bypass,6.52 MB
136,logflare,980,77,980,41,10/01/2019,26/02/2026,44.31 MB,"Never get surprised by a logging bill again. Centralized structured logging for Cloudflare, Vercel, Elixir and Javascript.",Elixir,https://github.com/Logflare/logflare,44.31 MB
137,live_view_native,974,33,974,14,06/11/2022,11/09/2025,9.20 MB,A framework for building native applications with Phoenix LiveView,Elixir,https://github.com/liveview-native/live_view_native,9.20 MB
138,firestorm,970,84,970,38,24/12/2016,30/09/2023,26.29 MB,"An open-source forum engine, with an Elixir+Phoenix backend and an Elm frontend.",Elixir,https://github.com/firestormforum/firestorm,26.29 MB
139,thousand_island,963,57,963,0,07/11/2019,22/02/2026,19.85 MB,Thousand Island is a pure Elixir socket server,Elixir,https://github.com/mtrudel/thousand_island,19.85 MB
140,lexical,962,82,962,61,22/02/2023,18/02/2025,3.15 MB,Lexical is a next-generation elixir language server,Elixir,https://github.com/lexical-lsp/lexical,3.15 MB
141,porcelain,961,45,961,31,01/08/2013,23/03/2021,198.00 KB,Work with external processes like a boss,Elixir,https://github.com/alco/porcelain,198.00 KB
142,kitto,959,54,959,12,11/05/2016,06/12/2020,440.00 KB,Kitto is a framework for interactive dashboards written in Elixir,Elixir,https://github.com/kittoframework/kitto,440.00 KB
143,crawler,958,90,958,0,08/08/2016,19/06/2024,394.00 KB,A high performance web crawler / scraper in Elixir.,Elixir,https://github.com/fredwu/crawler,394.00 KB
144,boundary,958,28,958,9,11/08/2019,15/07/2025,642.00 KB,Manage and restrain cross-module dependencies in Elixir projects,Elixir,https://github.com/sasa1977/boundary,642.00 KB
145,sage,957,44,957,21,09/09/2017,06/04/2025,395.00 KB,"A dependency-free tool to run distributed transactions in Elixir, inspired by Sagas pattern.",Elixir,https://github.com/Nebo15/sage,395.00 KB
146,mix-test.watch,956,80,956,15,22/04/2015,19/12/2025,164.00 KB,🎠   Because TDD is awesome,Elixir,https://github.com/lpil/mix-test.watch,164.00 KB
147,stream_data,930,73,930,15,10/05/2017,13/10/2025,579.00 KB,Data generation and property-based testing for Elixir. 🔮,Elixir,https://github.com/whatyouhide/stream_data,579.00 KB
148,wobserver,927,82,927,9,06/02/2017,06/06/2020,293.00 KB,"Web based metrics, monitoring, and observer",Elixir,https://github.com/shinyscorpion/wobserver,293.00 KB
149,con_cache,925,73,925,3,29/03/2013,29/09/2025,349.00 KB,ets based key/value cache with row level isolated writes and ttl support,Elixir,https://github.com/sasa1977/con_cache,349.00 KB
150,exrm,920,109,920,0,11/03/2014,06/04/2018,3.86 MB,Automatically generate a release for your Elixir project!,Elixir,https://github.com/bitwalker/exrm,3.86 MB
151,cog,919,70,919,58,08/01/2016,08/09/2021,4.58 MB,Bringing the power of the command line to chat,Elixir,https://github.com/operable/cog,4.58 MB
152,lifelong-learning,912,118,912,0,19/10/2013,01/02/2026,24.38 MB,✅ ✅ ✅ A massive repo filled with notes on everything from coding to philosophy to psychology to marketing to product,Elixir,https://github.com/daryllxd/lifelong-learning,24.38 MB
153,earmark,901,150,901,26,05/07/2014,21/06/2025,1.99 MB,Markdown parser for Elixir,Elixir,https://github.com/pragdave/earmark,1.99 MB
154,hammer,898,45,898,3,01/06/2017,05/02/2026,303.00 KB,An Elixir rate-limiter with pluggable backends,Elixir,https://github.com/ExHammer/hammer,303.00 KB
